jurisdiction,entity_type,desc,name,link,instructions_link,efile_allowed,efile_required,efile_required_desc,efile_allowed_desc,dd,fiscal_dd_desc,ext_dd,fiscal_ext_dd_desc
Alabama (AL),Corporation,Corporation  Income Tax Return,20C,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20c.pdf,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20cinstr.pdf,,,Yes,,4/15/2018,15th day of the 4th month following fiscal year end,10/15/2018,6 month ext
Alabama (AL),Corporation,Consolidated Corporate  Income Tax Return,20C-C,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20cc.pdf,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20ccinstr.pdf,,,Yes,,4/15/2018,15th day of the 4th month following fiscal year end,10/15/2018,6 month ext
Arizona (AZ),Corporation,Corporation Income Tax Return,120,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_CORPORATE_2017_120_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_CORPORATE_2017_120-i.pdf,,,yes,,4/15/2018,15th day of the 4th month following fiscal year end,4/15/2018,Due date of the return
Arizona (AZ),Corporation,Corporation Income Tax Return (Short Form),120A,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_CORPORATE_2017_120A_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_CORPORATE_2017_120A-i.pdf,,,yes,,4/15/2018,15th day of the 4th month following fiscal year end,4/15/2018,Due date of the return
Arkansas (AR),Corporation,Corporation Income Tax Retun,AR1100CT,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1100CT_2017_RE.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/Corporation_Instructions_2017.pdf,,,Yes,,4/15/2018,15th day of the 4th month following fiscal year end,4/15/2018,Due date of the return
California (CA),Corporation,California Corporation Franchise or Income Tax Return ,100,https://www.ftb.ca.gov/forms/2017/17_100.pdf#,https://www.ftb.ca.gov/forms/2017/17_100bk.pdf,,,Yes,Depends,4/15/2018,15th day of the 4th month after the close of the taxable year unless the return is for a short-period as required under R&TC Section 24634.,,"If the corporation cannot file its California tax return by the 15th day of the 4th month after the close of the taxable year, it may file on or before the 15th day of the 10th month without filing a written request for an extension unless the corporation is suspended on or after the original due date"
Colorado (CO),Corporation,C Corporation Income Tax Return,112,https://www.colorado.gov/pacific/sites/default/files/112Book.pdf,https://www.colorado.gov/pacific/sites/default/files/112Book.pdf,,,yes,,4/17/2018,15 day of the fourth month after the end of your tax year,10/15/2018,6 months
Connecticut (CT),Corporation,Corporation Business Tax Return,CT-1120,http://www.ct.gov/drs/lib/drs/forms/1-2017/corporation/ct-1120_1217.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/corporation/booklets/ct-1120_ct_corp_bus_tax_instruction_booklet_1217.pdf,,,yes,yes,5/15/2018,"If your corporation has a June 30th year end, the return is due on October 15

the due date generally will be the fifteenth day of the fifth month after the end of your corporation’s year",5/15/2018,seven months for June 30 year end filers
Connecticut (CT),Corporation,Combined Corporation Business Tax Return,CT-1120CR,http://www.ct.gov/drs/lib/drs/forms/2006forms/corp/ct-1120cr.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2015/corporation/ct-1120cr-inst.pdf,,,yes,,4/1/2018, first day of the fourth month following the end of the income year,4/1/2018,6 months
Connecticut (CT),Corporation,"Composite_x000D_
Income Tax",CT-1065,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_1217.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_booklet_1217.pdf,,,yes,,4/15/2018,15 day of the fourth month following the close of the taxable year,4/15/2018,"5 months, but only only if federal Form 7004, Application for Automatic Extension of Time to File Certain Business Income Tax, Information, and Other Returns, has been filed"
