jurisdiction,entity_type,desc,name,link,instructions_link,efile_allowed,efile_required,efile_required_desc,efile_allowed_desc,dd,fiscal_dd_desc,ext_dd,fiscal_ext_dd_desc,,,,,,
Alabama (AL),Corporation,Corporation  Income Tax Return,20C,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20c.pdf,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20cinstr.pdf,,,Yes,,43205,15th day of the 4th month following fiscal year end,43388,6 month ext,,,,,,
Alabama (AL),Corporation,Consolidated Corporate  Income Tax Return,20C-C,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20cc.pdf,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20ccinstr.pdf,,,Yes,,43205,15th day of the 4th month following fiscal year end,43388,6 month ext,,,,,,
Arizona (AZ),Corporation,Corporation Income Tax Return,120,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_CORPORATE_2017_120_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_CORPORATE_2017_120-i.pdf,,,yes,,43205,15th day of the 4th month following fiscal year end,43205,Due date of the return,,,,,,
Arizona (AZ),Corporation,Corporation Income Tax Return (Short Form),120A,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_CORPORATE_2017_120A_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_CORPORATE_2017_120A-i.pdf,,,yes,,43205,15th day of the 4th month following fiscal year end,43205,Due date of the return,,,,,,
Arizona (AZ),Corporation,Amended Corporation Income Tax Return,120X,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_CORPORATE_2017_120X_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_CORPORATE_2017_120X-i.pdf,,,Yes,,null,"Form 120X may be filed only after the taxpayer has filed its original tax return (Form 120 or Form 120A) for the taxable year 2017.  Generally, Form 120X must be filed within four years after the date the original return was due or after the date that the taxpayer filed it, whichever was later.
",null,null,,,,,,
Arkansas (AR),Corporation,Corporation Income Tax Retun,AR1100CT,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1100CT_2017_RE.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/Corporation_Instructions_2017.pdf,,,Yes,,43205,15th day of the 4th month following fiscal year end,43205,Due date of the return,,,,,,
Arkansas (AR),Corporation,Amended Corporation Income Tax Return (TO AMEND YEARS PRIOR TO 2010 ONLY),AR1100CTX,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/AR1100CTX_2017_RE.pdf,https://www.dfa.arkansas.gov/images/uploads/incomeTaxOffice/Corporation_Instructions_2017.pdf,,,yes,,null,"Form AR1100CTX. Arkansas amended returns must be filed within three (3) years from date of filing the original return or two (2) years from date of payment of tax on the original return, whichever is later",null,null,,,,,,
California (CA),Corporation,California Corporation Franchise or Income Tax Return ,100,https://www.ftb.ca.gov/forms/2017/17_100.pdf#,https://www.ftb.ca.gov/forms/2017/17_100bk.pdf,,,Yes,Depends,43205,15th day of the 4th month after the close of the taxable year unless the return is for a short-period as required under R&TC Section 24634.,null,"If the corporation cannot file its California tax return by the 15th day of the 4th month after the close of the taxable year, it may file on or before the 15th day of the 10th month without filing a written request for an extension unless the corporation is suspended on or after the original due date",,,,,,
Colorado (CO),Corporation,C Corporation Income Tax Return,112,https://www.colorado.gov/pacific/sites/default/files/112Book.pdf,https://www.colorado.gov/pacific/sites/default/files/112Book.pdf,,,yes,,43207,15 day of the fourth month after the end of your tax year,43388,6 months,,,,,,
Colorado (CO),Corporation,Amended C Corporation Income Tax Return,112X,https://www.colorado.gov/pacific/sites/default/files/112X.pdf,https://www.colorado.gov/pacific/sites/default/files/112X.pdf,,,yes,,null,"The statute of limitations for filing a Colorado claim for refund is generally four years from the original due date of the return or three years from the date of the last payment of tax or the year involved, whichever is later. ",,,,,,,,
Connecticut (CT),Corporation,Corporation Business Tax Return,CT-1120,http://www.ct.gov/drs/lib/drs/forms/1-2017/corporation/ct-1120_1217.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/corporation/booklets/ct-1120_ct_corp_bus_tax_instruction_booklet_1217.pdf,,,yes,yes,43235,"If your corporation has a June 30th year end, the return is due on October 15

the due date generally will be the fifteenth day of the fifth month after the end of your corporation’s year",43235,seven months for June 30 year end filers,,,,,,
Connecticut (CT),Corporation,Combined Corporation Business Tax Return,CT-1120CR,http://www.ct.gov/drs/lib/drs/forms/2006forms/corp/ct-1120cr.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2015/corporation/ct-1120cr-inst.pdf,,,yes,,43191, first day of the fourth month following the end of the income year,43191,6 months,,,,,,
Connecticut (CT),Corporation,"Composite_x000D_
Income Tax",CT-1065,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_1217.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_booklet_1217.pdf,,,yes,,43205,15 day of the fourth month following the close of the taxable year,43205,"5 months, but only only if federal Form 7004, Application for Automatic Extension of Time to File Certain Business Income Tax, Information, and Other Returns, has been filed",,,,,,
Connecticut (CT),Corporation,"Composite_x000D_
Income Tax",CT-1120SI,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_1217.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2017/composite/ct-1065_ct-1120si_booklet_1217.pdf,,,yes,,43205,15 day of the fourth month following the close of the taxable year,43205,"5 months, but only only if federal Form 7004, Application for Automatic Extension of Time to File Certain Business Income Tax, Information, and Other Returns, has been filed",,,,,,
Connecticut (CT),Corporation,Amended Corporation Business Tax Return,CT-1120X,http://www.ct.gov/drs/lib/drs/forms/1-2016/corporation/ct-1120x.pdf,http://www.ct.gov/drs/lib/drs/forms/1-2016/corporation/ct-1120x_instructions.pdf,,,yes,,,"Generally, Form CT-1120X must be fi led within three years from the due date of the original return or, if an extension of time to file was requested and granted, three years from the extended due date.",null,null,,,,,,
